DAD_VALIDITE;DAF_VALIDITE;FK_TYASSUJNO;FK_ENTPRNO
1992-12-31;0001-01-01;2;5537
1992-12-31;0001-01-01;1;5537
1992-12-31;1995-12-31;2;8270
1992-12-31;1995-12-31;1;8270
1936-01-17;0001-01-01;1;15346
1972-05-29;0001-01-01;2;16493
1972-05-29;0001-01-01;1;16493
1991-01-01;0001-01-01;1;19289
1991-07-05;1993-12-31;1;22414
1986-06-23;1990-12-31;2;22922
1986-06-23;1990-12-31;1;22922
1995-03-20;1996-12-31;2;23327
1995-03-20;1996-12-31;1;23327
1997-05-21;0001-01-01;2;28791
1997-05-21;0001-01-01;1;28791
2001-09-26;0001-01-01;1;37672
2001-09-26;0001-01-01;2;37672
2003-10-30;0001-01-01;1;41882
2003-10-30;0001-01-01;2;41882
2004-01-20;0001-01-01;1;42316
2004-01-20;0001-01-01;2;42316
2004-10-23;0001-01-01;1;44077
2004-10-23;0001-01-01;2;44077
2007-05-15;0001-01-01;1;50034
2007-11-14;0001-01-01;1;51277
2007-12-06;0001-01-01;1;51477
2007-12-05;0001-01-01;2;51477
2008-12-19;0001-01-01;1;54020
